key,0,1
39,TEXT_FESXMS001_00247_TODO_15,无
40,TEXT_FESXMS001_00247_TODO_16,无
41,TEXT_FESXMS001_00247_TODO_17,无
42,TEXT_FESXMS001_00247_TODO_18,无
43,TEXT_FESXMS001_00247_TODO_19,无
44,TEXT_FESXMS001_00247_TODO_20,无
45,TEXT_FESXMS001_00247_TODO_21,无
46,TEXT_FESXMS001_00247_TODO_22,无
47,TEXT_FESXMS001_00247_TODO_23,无
48,TEXT_FESXMS001_00247_VOLUNTEER65783_000_000,你愿意来帮忙？<hex:02100103>真是谢谢你了！
49,TEXT_FESXMS001_00247_VOLUNTEER65783_000_001,那么，请你装扮成圣人的追随者，<hex:02100103>从薰衣草苗圃的任意一棵星芒树下回收1张<hex:022811FF0A>EventItem<hex:F61E8A700103>。
50,TEXT_FESXMS001_00247_VOLUNTEER65783_000_002,……对了，说到星芒树，<hex:02100103>除了由我们准备的节日星芒树以外，<hex:02100103>你还可以去找冒险者们摆放在自己家庭院里的。
51,TEXT_FESXMS001_00247_VOLUNTEER65783_000_003,通过协助我们回收卡片，可以获得落芒星。<hex:02100103>根据树的种类不同，<hex:02100103>得到的落芒星的种类也不同。
52,TEXT_FESXMS001_00247_VOLUNTEER65783_000_004,你可以用得到的落芒星去换取与星芒节有关的物品。<hex:02100103>具体情况请去向旁边的星芒节宣传员咨询。
53,TEXT_FESXMS001_00247_SYSTEM_000_001,导向地图上会标出星芒树的位置。<hex:02100103>请在冒险者住宅区中仔细寻找！
54,TEXT_FESXMS001_00247_SYSTEM_100_001,另外，由于<hex:022811FF0A>EventItem<hex:F61E8A700103>最多只能获得1张，<hex:02100103>因此考虑好想交换的物品之后，再去相应的星芒树下回收卡片吧。
55,TEXT_FESXMS001_00247_VOLUNTEER65783_000_005,请你装扮成圣人的追随者，<hex:02100103>从薰衣草苗圃的任意一棵星芒树下回收1张<hex:022811FF0A>EventItem<hex:F61E8A700103>。
56,TEXT_FESXMS001_00247_SYSTEM_000_002,导向地图上会标出星芒树的位置。<hex:02100103>请在冒险者住宅区中仔细寻找！
57,TEXT_FESXMS001_00247_SYSTEM_100_002,另外，由于<hex:022811FF0A>EventItem<hex:F61E8A700103>最多只能获得1张，<hex:02100103>因此考虑好想交换的物品之后，再去相应的星芒树下回收卡片吧。
58,TEXT_FESXMS001_00247_SYSTEM_000_010,在执行部分任务时，需要装备上<hex:02280BFF05>Item<hex:F224390103>。
59,TEXT_FESXMS001_00247_SYSTEM_000_011,如果没有<hex:02280BFF05>Item<hex:F224390103>，<hex:02100103>可以通过和星芒节宣传员对话获得<hex:02280BFF05>Item<hex:F224390103>。
60,TEXT_FESXMS001_00247_GUIDE65783_000_012,哎呀，你把<hex:02280BFF05>Item<hex:F224390103>丢了？<hex:02100103>那我再给你一件好了。<hex:02100103>拿好！
61,TEXT_FESXMS001_00247_POPMESSAGE_000_013,获得了<hex:02280BFF05>Item<hex:F224390103>。
62,TEXT_FESXMS001_00247_VOLUNTEER65783_000_020,辛苦了！<hex:02100103>你回收来<hex:022811FF0A>EventItem<hex:F61E8A700103>了吗？
63,TEXT_FESXMS001_00247_VOLUNTEER65783_000_021,嗯，卡片我收下了。<hex:02100103>接下来，就请你装扮成圣人的追随者，<hex:02100103>将礼物送给附近的孩子们。
64,TEXT_FESXMS001_00247_VOLUNTEER65783_000_022,请你装扮成圣人的追随者，<hex:02100103>将礼物送给附近的孩子们。
65,TEXT_FESXMS001_00247_CHILDA65783_000_030,哇！圣人的追随者来了！<hex:02100103>你是来送<hex:022811FF0A>EventItem<hex:F61E8A710103>的吗？！
66,TEXT_FESXMS001_00247_CHILDA65783_000_031,哇！得到礼物了！<hex:02100103>谢谢你！
67,TEXT_FESXMS001_00247_CHILDB65783_000_032,圣人的追随者……<hex:02100103>那个……我也能得到<hex:022811FF0A>EventItem<hex:F61E8A710103>吗？
68,TEXT_FESXMS001_00247_CHILDB65783_000_033,哇……竟然也有我的份！<hex:02100103>谢、谢谢你！
69,TEXT_FESXMS001_00247_CHILDC65783_000_034,哇……你就是圣人的追随者吧！<hex:02100103>我可乖了，一直在等你！<hex:02100103>那个……请快点给我<hex:022811FF0A>EventItem<hex:F61E8A710103>吧！
70,TEXT_FESXMS001_00247_CHILDC65783_000_035,谢谢你！<hex:02100103>我会好好珍惜这份礼物的！
71,TEXT_FESXMS001_00247_CHILDA65783_000_036,我呀，正在等圣人的追随者来送我礼物呢！<hex:02100103>怎么还不来呀！
72,TEXT_FESXMS001_00247_CHILDB65783_000_037,我……正在等圣人的追随者来送礼物……<hex:02100103>真想要礼物呀……
73,TEXT_FESXMS001_00247_CHILDC65783_000_038,只要在这里等，<hex:02100103>圣人的追随者就会来送我礼物。<hex:02100103>我真是迫不及待了！
74,TEXT_FESXMS001_00247_SYSTEM_100_038,在执行部分任务时，需要装备上<hex:02280BFF05>Item<hex:F224390103>。
75,TEXT_FESXMS001_00247_SYSTEM_110_038,如果没有<hex:02280BFF05>Item<hex:F224390103>，<hex:02100103>可以通过和星芒节宣传员对话获得<hex:02280BFF05>Item<hex:F224390103>。
76,TEXT_FESXMS001_00247_GUIDE65783_120_038,哎呀，你把<hex:02280BFF05>Item<hex:F224390103>丢了？<hex:02100103>那我再给你一件好了。<hex:02100103>拿好！
77,TEXT_FESXMS001_00247_POPMESSAGE_130_038,获得了<hex:02280BFF05>Item<hex:F224390103>。
78,TEXT_FESXMS001_00247_VOLUNTEER65783_000_040,看来你已经顺利将礼物交给孩子们了。<hex:02100103>谢谢你，帮了我们大忙了。
79,TEXT_FESXMS001_00247_VOLUNTEER65783_000_041,……对了，我听阿姆·加兰基说，<hex:02100103>她曾经是个孤儿。<hex:02100103>不知这事你知不知道。
80,TEXT_FESXMS001_00247_VOLUNTEER65783_000_042,她想让和自己有同样经历的孩子能够露出笑容，<hex:02100103>因此着手办起了慈善活动，<hex:02100103>也就是这次的星芒节的前身。
81,TEXT_FESXMS001_00247_VOLUNTEER65783_000_043,我被她的事迹所感动，因此来帮她一把。<hex:02100103>如果你也有所感触的话，<hex:02100103>就再来这里帮忙，让她和孩子们绽放笑颜吧！
82,TEXT_FESXMS001_00247_VOLUNTEER65783_000_044,看来你已经顺利将礼物交给孩子们了。<hex:02100103>谢谢你，帮了我们大忙了。<hex:02100103>有时间再来找我们！
83,TEXT_FESXMS001_00247_SYSTEM_000_050,协助了所有冒险者住宅区的星芒节执行委员！<hex:02100103>去向薰衣草苗圃雅努·帕庭院的阿姆·加兰基报告。
84,TEXT_FESXMS001_00247_SYSTEM_000_051,（★未使用／预定删除★）
85,TEXT_FESXMS001_00247_VOLUNTEER65783_100_004,（★未使用／预定删除★）
86,TEXT_FESXMS001_00247_VOLUNTEER65783_110_004,（★未使用／预定删除★）
